Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Belgium,Western Europe,16,6.9268999099731445,1.3235224485397339,1.4828758239746094,0.8943246006965637,0.5826928019523621,0.2403932511806488,0.18803545832633972,2.215041160583496
Luxembourg,Western Europe,17,6.909900188446045,1.576079249382019,1.5200711488723755,0.8961794376373291,0.6320199966430664,0.32099151611328125,0.19605237245559692,1.7685508728027344
United States,North America,18,6.886000156402588,1.3980430364608765,1.470543384552002,0.8189616799354553,0.5473175644874573,0.1334339827299118,0.2905890941619873,2.227151393890381
United Kingdom,Western Europe,19,6.814300060272217,1.301310420036316,1.5587326288223267,0.8832120299339294,0.5326727032661438,0.2720714509487152,0.3543255627155304,1.9120063781738281
United Arab Emirates,Middle East and Northern Africa,20,6.774099826812744,1.467124581336975,1.2955563068389893,0.7761461734771729,0.6698377132415771,0.18562638759613037,0.28391775488853455,2.095860481262207
Czech Republic,Central and Eastern Europe,21,6.710899829864502,1.2334682941436768,1.4893184900283813,0.8540759086608887,0.54264235496521,0.03363683819770813,0.06396657228469849,2.4937963485717773
Malta,Western Europe,22,6.6265997886657715,1.2702007293701172,1.5248963832855225,0.8843668699264526,0.6453388333320618,0.14224694669246674,0.375807523727417,1.7837519645690918
France,Western Europe,23,6.489299774169922,1.2927850484848022,1.4664455652236938,0.9084950089454651,0.5203059315681458,0.17569075524806976,0.0978379175066948,2.0277533531188965
Mexico,Latin America and Caribbean,24,6.4882001876831055,1.0382345914840698,1.2522331476211548,0.7606626749038696,0.47918078303337097,0.09470430016517639,0.06868445128202438,2.7945103645324707
Chile,Latin America and Caribbean,25,6.476200103759766,1.1313050985336304,1.3310205936431885,0.8083751201629639,0.43122950196266174,0.06061111018061638,0.1970563530921936,2.5165913105010986
Taiwan Province of China,Eastern Asia,26,6.4405999183654785,1.3650527000427246,1.4359679222106934,0.85737544298172,0.41755861043930054,0.07785949856042862,0.15061914920806885,2.1361265182495117
Panama,Latin America and Caribbean,27,6.429999828338623,1.1122004985809326,1.4383903741836548,0.7587998509407043,0.5968670845031738,0.06309143453836441,0.12450971454381943,2.3361802101135254
Brazil,Latin America and Caribbean,28,6.418900012969971,0.9858960509300232,1.4743058681488037,0.6751376390457153,0.4934636950492859,0.08780327439308167,0.11025834828615189,2.5920255184173584
Argentina,Latin America and Caribbean,29,6.388000011444092,1.0726706981658936,1.4683414697647095,0.7435851693153381,0.5697102546691895,0.05350707843899727,0.0619422122836113,2.418200731277466
Guatemala,Latin America and Caribbean,30,6.381899833679199,0.7813247442245483,1.2676764726638794,0.6084140539169312,0.6042977571487427,0.07061436027288437,0.1788066327571869,2.8707187175750732
Uruguay,Latin America and Caribbean,31,6.378799915313721,1.0926628112792969,1.4587924480438232,0.770585298538208,0.624857485294342,0.1553344577550888,0.12961643934249878,2.146977424621582
